QueryAnswer	Relevant	Sigmoid
"Query: Можно ли премию выплаченную за счёт нераспределенной прибыли прошлых лет учесть в расходах при УСН ""доходы минус расходы""? Document: Систему премирования организация разрабатывает самостоятельно и закрепляет в локальном акте организации. Например, в положении о премировании. Чтобы узнать, как учесть разные виды премий, перейдите по ссылке в соответствующий раздел:ежемесячная и квартальная;годовая;разовая;за счет чистой прибыли;директору;в натуральной форме. Посмотреть все рекомендации по оформлению и учету премий можно в рубрикаторе. Relevant: "	Правда	0.9454789757728577
Query: командировка в тот же город Document: Поездка сотрудника в пределах местности, где он трудится, командировкой не признается. Суточные выплачивать не надо. Это связано с тем, что сотрудник имеет возможность возвращаться каждый день домой. Relevant: 	Ложь	0.9139229655265808
Query: Изменения октябрь Document: Изменились правила подачи уведомлений по НДФЛ и другим налогам, уточнили порядок признания средств по ЕНП, в счете-фактуре появился новый реквизит, а МСП обязаны платить акциз со сладких напитков. Изменение в сфере кадров – установили новые штрафы для работодателей по воинскому учету. Relevant: 	Правда	0.9529296159744263
Query: Здравствуйте, чем руководствоваться при заполнении путевого листа легкового автомобиля. согласно приказа директора, путевой составляем раз в месяц по окончании. В маршруте движения необходимо заполнять адрес, а надо ли заполнять название организации или пункт, куда ездил автомобиль по указанному адресу? Document: Путевой лист на более длительный период можно оформить, если рейс длится более одного дня (п. 11 приказа Минтранса от 28.09.2022 № 390). В этом случае путевой лист действует в течение определенного периода, например недели, месяца (то есть на период продолжительности рейса). Иных случаев для оформления путевого листа на месяц или иной период приказом Минтранса не предусмотрено, но и прямо не запрещено. В связи с этим безопаснее на каждый рейс оформлять новый путевой лист до выхода разъяснений. Relevant: 	Ложь	0.9286259412765503
Query: Добрый день, при реализации протравленных семян кукурузы и подсолнечника какой ндс? Document: Бухучет. Бухучет семян ведите на счете 10 «Материалы» субсчет 8 «Семена и посадочный материал» (план счетов и Методические рекомендации по его применению, утв. приказом Минсельхоза от 13.06.2001 № 654).Движение семян и посадочного материала при осуществлении посева и посадки сельскохозяйственных культур отражайте записями:Дебет 20 субсчет 1 Кредит 10 субсчет 8 – списаны расходы на семена и посадочный материал.  Relevant: 	Ложь	0.9211835861206055
Query: По какой ставке НДС реализуется жир технический из рыбы? Document: Ставка 20% распространяется на товары, работы и услуги, которые не облагаются 0% или 10% НДС. Ставку 10% применяют только при импорте и реализации товаров, которые включены в перечни, установленные Правительством. Это отдельные виды продовольственных товаров, товаров для детей, периодических печатных изданий, книжной продукции и медицинских изделий. Ставку 0% применяют в строго ограниченных случаях. Еще есть расчетные ставки – 10/110, 20/120 и 16,67% (п. 1, 2 и 3 ст. 164 НК). Relevant: 	Правда	0.9318628311157227
Query: Добрый день! Принимаем на работу иностранного гражданина. Каким образом учитывать северный и районный коэффициенты при расчете ЗП? Document: Размер районного коэффициента может быть установлен федеральным или местным нормативным актом. Его размер зависит от месторасположения, а также категории сотрудников и отрасли. Данные представлены в таблице. Районы и местности, отнесенные к Крайнему Северу и приравненным к ним местностям смотрите в отдельном справочнике. Relevant: 	Правда	0.9693910479545593
Query: можно ли включать в аванс премию учтенную в трудовом договоре? Document: В трудовом законодательстве нет понятия «аванс». Есть зарплата за первую половину месяца. Она не может быть меньше тарифной ставки или оклада за отработанное время или выполненную работу (письма Минтруда от 20.03.2019 № 14-1/В-178, от 18.09.2018 № 14-1/В-765, Роструда от 08.09.2006 № 1557-6). Выплачивать зарплату нужно не реже чем каждые полмесяца, поэтому считать ее необходимо за каждые полмесяца (письмо Минздравсоцразвития от 25.02.2009 № 22-2-709). Relevant: 	Правда	0.940305233001709
Query: премия за время болезни Document: Включать в локальный акт условие о лишении сотрудника премии в связи с болезнью в период, за который выдается премия, неправомерно. Вместе с тем, порядок выплаты премий работодатели устанавливают самостоятельно. В частности, в локальном акте можно предусмотреть такие условия, при которых премия будет выплачиваться только за фактически отработанное время. В таком случае речь уже будет идти не о лишении, а о порядке выплаты премии, в определении которого работодателям предоставлена свобода. Relevant: 	Правда	0.9605777263641357
Query: изменения октябрь Document: Изменились правила подачи уведомлений по НДФЛ и другим налогам, уточнили порядок признания средств по ЕНП, в счете-фактуре появился новый реквизит, а МСП обязаны платить акциз со сладких напитков. Изменение в сфере кадров – установили новые штрафы для работодателей по воинскому учету. Relevant: 	Правда	0.9520063996315002
